Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Comments),Custom field (Confidence),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Designs ready),Custom field (Development),Custom field (Documents),Custom field (Effort),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Idea short description),Custom field (Impact),Custom field (Impact),Custom field (Impact score),Custom field (Insights),Custom field (Issue color),Custom field (Linked items),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Project start),Custom field (Project target),Custom field (RICE score),Custom field (Rank),Custom field (Reach),Custom field (Request Type),Custom field (Roadmap),Custom field (Sentiment),Custom field (Spec ready),Sprint,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Value),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Custom field (development),Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Configure Jenkins system,BDC-35,10170,Infrastructure Provisioning Task,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:50 PM,15/Sep/25 1:17 AM,15/Sep/25 3:04 AM,15/Sep/25 1:17 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@75577e96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008q:i,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:20:25.842,10095_*:*_1_*:*_1302077_*|*_10096_*:*_1_*:*_0,,14/Sep/25 11:50 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 1:17 AM
Configure Jenkins credentials,BDC-34,10169,Infrastructure Provisioning Task,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:50 PM,15/Sep/25 1:17 AM,15/Sep/25 2:40 AM,15/Sep/25 1:17 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@73a4cfdc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008q:,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:20:17.132,10095_*:*_1_*:*_1307469_*|*_10096_*:*_1_*:*_0,,14/Sep/25 11:50 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 1:17 AM
Configure Jenkins tools,BDC-33,10168,Infrastructure Provisioning Task,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:50 PM,15/Sep/25 1:17 AM,15/Sep/25 2:40 AM,15/Sep/25 1:17 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1db67341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007y:,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:20:09.683,10095_*:*_1_*:*_1312065_*|*_10096_*:*_1_*:*_0,,14/Sep/25 11:50 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 1:17 AM
Set up Jenkins server,BDC-32,10167,Infrastructure Provisioning Task,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:49 PM,15/Sep/25 1:16 AM,14/Sep/25 11:49 PM,15/Sep/25 1:16 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@edad6ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007u:,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:19:28.163,10095_*:*_1_*:*_1349148_*|*_10096_*:*_1_*:*_0,,14/Sep/25 11:49 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 1:16 AM
Install grafhana on Monitoring server,BDC-31,10166,Subtask,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:49 PM,15/Sep/25 3:04 AM,,15/Sep/25 3:04 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@322b4889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009v:,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:19:09.688,10095_*:*_1_*:*_11707056_*|*_10097_*:*_1_*:*_0,,14/Sep/25 11:49 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,10154,BDC-25,Install Softwares on servers,Done,15/Sep/25 3:04 AM
Install Node exporter on Monitoring server,BDC-30,10164,Subtask,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:49 PM,15/Sep/25 3:04 AM,,15/Sep/25 3:04 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@20d895cf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009n:,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:19:01.985,10095_*:*_1_*:*_11710581_*|*_10097_*:*_1_*:*_0,,14/Sep/25 11:49 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,10154,BDC-25,Install Softwares on servers,Done,15/Sep/25 3:04 AM
Install Prometheus on Monitoring server,BDC-29,10162,Subtask,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:48 PM,15/Sep/25 3:04 AM,,15/Sep/25 3:04 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@58a162b5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009f:,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:18:51.538,10095_*:*_1_*:*_11718010_*|*_10097_*:*_1_*:*_0,,14/Sep/25 11:48 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,10154,BDC-25,Install Softwares on servers,Done,15/Sep/25 3:04 AM
Install sonarqube on Jenkins server,BDC-28,10160,Subtask,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:48 PM,15/Sep/25 3:04 AM,,15/Sep/25 3:04 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@13f06c52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00097:,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:18:36.796,10095_*:*_1_*:*_11728512_*|*_10097_*:*_1_*:*_0,,14/Sep/25 11:48 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,10154,BDC-25,Install Softwares on servers,Done,15/Sep/25 3:04 AM
Install java and jenkins on Jenkins server,BDC-27,10158,Subtask,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:48 PM,15/Sep/25 3:03 AM,,15/Sep/25 3:03 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@286618e9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008z:,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:18:29.562,10095_*:*_1_*:*_11729690_*|*_10097_*:*_1_*:*_0,,14/Sep/25 11:48 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,10154,BDC-25,Install Softwares on servers,Done,15/Sep/25 3:03 AM
Install docker on Jenkins server,BDC-26,10156,Subtask,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:48 PM,15/Sep/25 3:03 AM,,15/Sep/25 3:03 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@65f1d4e2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008r:,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:18:14.735,10095_*:*_1_*:*_11741889_*|*_10097_*:*_1_*:*_0,,14/Sep/25 11:48 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,10154,BDC-25,Install Softwares on servers,Done,15/Sep/25 3:03 AM
Install Softwares on servers,BDC-25,10154,Infrastructure Provisioning Task,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:47 PM,15/Sep/25 1:16 AM,15/Sep/25 3:03 AM,15/Sep/25 1:16 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2431423d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007m:,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:17:53.903,10095_*:*_1_*:*_1435486_*|*_10096_*:*_1_*:*_0,,14/Sep/25 11:47 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 1:16 AM
launch monitoring server instance,BDC-24,10153,Subtask,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:46 PM,15/Sep/25 2:39 AM,,15/Sep/25 2:39 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@27769bf0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008b:,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:16:04.671,10095_*:*_1_*:*_10435966_*|*_10097_*:*_1_*:*_0,,14/Sep/25 11:46 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,10149,BDC-22,Launch Instances and Security group,Done,15/Sep/25 2:39 AM
launch jenkins server instance,BDC-23,10151,Subtask,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:45 PM,15/Sep/25 2:39 AM,,15/Sep/25 2:39 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@60740cda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00083:,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:15:54.673,10095_*:*_1_*:*_10443357_*|*_10097_*:*_1_*:*_0,,14/Sep/25 11:45 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,10149,BDC-22,Launch Instances and Security group,Done,15/Sep/25 2:39 AM
Launch Instances and Security group,BDC-22,10149,Infrastructure Provisioning Task,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:45 PM,15/Sep/25 12:11 AM,15/Sep/25 2:39 AM,15/Sep/25 12:11 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@23110667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00075:,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:15:30.554,10095_*:*_1_*:*_1534199_*|*_10097_*:*_1_*:*_0,,14/Sep/25 11:45 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 12:11 AM
Create Terraform scripts for launching Security Group and EC2 instances,BDC-21,10148,Infrastructure Provisioning Task,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:44 PM,15/Sep/25 12:11 AM,,15/Sep/25 12:11 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@12e29497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00073:,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:14:22.437,10095_*:*_1_*:*_1599877_*|*_10097_*:*_1_*:*_0,,14/Sep/25 11:44 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 12:11 AM
Collect pull request link as a deliverable,BDC-20,10147,Deliverables & Documentation,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:43 PM,15/Sep/25 12:11 AM,,15/Sep/25 12:11 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@48bd4313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0006v:,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:13:56.432,10095_*:*_1_*:*_189878_*|*_10096_*:*_1_*:*_0,,14/Sep/25 11:43 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 12:11 AM
Review the pull request and approve to merge,BDC-19,10146,Source Code Management & Version Control,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:43 PM,15/Sep/25 12:11 AM,,15/Sep/25 12:11 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5862008a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0006t:,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:13:24.215,10095_*:*_1_*:*_214113_*|*_10096_*:*_1_*:*_0,,14/Sep/25 11:43 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 12:11 AM
Fork the GitHub repo,BDC-18,10145,Source Code Management & Version Control,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:43 PM,15/Sep/25 12:11 AM,,14/Sep/25 11:46 PM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3753f44b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0006h:,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:13:04.394,10095_*:*_1_*:*_220989_*|*_10096_*:*_1_*:*_0,,14/Sep/25 11:43 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,14/Sep/25 11:46 PM
Push the changes via the feature branch,BDC-17,10144,Source Code Management & Version Control,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:42 PM,15/Sep/25 12:11 AM,,15/Sep/25 12:11 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@664d38fa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0006r:,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:12:21.29,10095_*:*_1_*:*_268422_*|*_10096_*:*_1_*:*_0,,14/Sep/25 11:42 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 12:11 AM
Create a new feature branch and make changes,BDC-16,10143,Source Code Management & Version Control,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:42 PM,15/Sep/25 12:11 AM,,14/Sep/25 11:47 PM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7ae5654e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0006k:,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:12:02.345,10095_*:*_1_*:*_279568_*|*_10096_*:*_1_*:*_0,,14/Sep/25 11:42 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,14/Sep/25 11:47 PM
Book-my-Show-CICD-Implemention,BDC-15,10142,Epic,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:32 PM,15/Sep/25 11:35 AM,14/Sep/25 11:33 PM,15/Sep/25 11:35 AM,15/Sep/25 12:00 AM,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7ffdcd6e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0006b:,,,,,,,,13/Sep/25 12:00 AM,,,,,,,,,,2025-09-14 18:02:42.666,10095_*:*_1_*:*_43339892_*|*_10097_*:*_1_*:*_0,,14/Sep/25 11:32 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 11:35 AM
